Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列)
4432,主任医师,肿瘤血液病科,兰州,1,8509,"663,965",24,644,1,0,6,自利利他                        欢迎咨询，本人愿为患友提供合理的诊治方案！欢迎同道指正;欢迎病友咨询!,133965
4433,主任医师,外科,泰安,1,0,"7,674",0,0,0,0,0,,133970
4434,主治医师,胸部肿瘤外科,西安,1,365,"16,928",1,8,0,0,0,,133986
4435,主治医师,结核内科,济南,1,200,"17,306",3,30,5,1,1,医者父母心                        今天为一年轻女性结脑脑积水患者进行了第11次手术， 希望她能好起来,133987
4436,副主任医师 研究员,放射科,庆阳,1,200,"7,337",1,0,4,0,0,,133998
4437,主治医师,脑病科,长春,0,0,270,0,0,0,0,0,,134004
4438,主任医师 教授,急诊科,哈尔滨,1,0,"16,672",0,0,0,0,0,,134012
4439,主治医师 讲师,肾病风湿科,新乡,0,0,743,0,0,0,0,0,,134048
4440,主任医师,中医内科,宝鸡,0,0,"9,331",0,0,3,0,0,,134069
4441,主治医师,普通外科,泰安,0,0,"2,735",0,0,0,0,0,,134094
4442,主治医师 讲师,皮肤性病科,西安,1,405,"53,257",1,43,0,0,1,欢迎光临本站！                        再此相遇，是你我的缘分！,134130
4443,主治医师,口腔科,金华,1,245,"12,970",3,0,1,0,0,,134131
4444,主任医师 教授,妇产科,长春,1,200,"9,062",0,0,4,0,0,,134139
4445,主任医师,脊柱关节外科,西安,1,0,"4,351",0,0,2,0,0,,134150
4446,副主任医师,呼吸内科,合肥,1,0,"8,365",0,1,6,1,0,,134176
4447,主治医师 讲师,颌面外科,北京,1,3080,"403,421",12,656,50,14,5,欢迎词                        各位患者大家好！因平日临床工作较忙，可能无法满足每位患者的加号要求，请大家谅解，同时也感谢各位的信任！就诊地址：西城区西什库大街甲37号，北京大学口腔医院门诊部外科A楼209室（地铁4号线，西四站B口出，西四十字路口东行约300米）,134193
4448,副主任医师,眼科,长春,0,0,"1,651",0,0,0,0,0,,134220
4449,主任医师 教授,小儿外科,广州,1,1690,"83,409",25,233,4,2,1,,134230
4450,主治医师,乳腺科,滁州,0,0,"27,278",0,2,1,0,0,,134247
4451,住院医师,肿瘤内科,郑州,1,0,"1,961",0,0,0,0,0,,134329
4452,主治医师,普外科,常州,0,295,"86,912",2,24,0,0,1,感谢您对我的信任                        感谢您对我的信任，我必将恪守医德，尽我所能为您服务。,134449
4453,住院医师,口腔科,北京,1,2340,"142,630",6,270,2,1,0,欢迎词                        您好！    欢迎您的光临和加入我的&#34;患友录&#34;！在这里，我将毫无保留地介绍个人从医心得，热诚而认真地解答您的疑问，希望成为您的朋友，私人口腔保健顾问，做您的美牙天使，牙病克星，健康卫士！,134532
4454,主治医师,普外科,枣庄,0,0,233,0,0,0,0,0,,134532
4455,主治医师 讲师,心理咨询科,青岛,1,0,"7,796",0,0,0,0,0,,134546
4456,主治医师 讲师,口腔科,济南,1,360,"85,603",1,40,5,0,2,欢迎词                        亲，定期为牙齿做保健非常重要哦！,134551
4457,主治医师 讲师,口腔科,菏泽,0,200,"7,017",0,0,2,0,0,,134552
4458,主治医师,血管瘤外科,郑州,1,970,"73,003",1,94,6,1,1,,134558
4459,主治医师,骨外科,济南,1,335,"29,897",19,18,1,0,0,山东大学附属济南市中心医院  骨关节&运动医学科祝您健康！                        我科作为医院的新建学科，由原骨科专业细化而来，科室开放床位20张，为山东省医药卫生重点专业、山东省临床重点专科，济南市重点专科。科室人才结构合理，拥有高级职称人员1名，中级3人；博士2人，硕士4人。科室工作人员先后到北京大学人民医院骨关节中...心、美国Wayne State University、韩国Wellton骨关节病医院进修学习及进行基础研究，掌握了关节镜技术和髋、膝关节置换技术两项核心技术。,134692
4460,主治医师,神经内科,成都,1,0,"23,047",3,2,3,0,1,好网站好大夫                        希望能够帮助更多的患者,134715
4461,主任医师 教授,心脑内科,泸州,1,15,"3,068",0,3,1,0,0,,134830
4462,主任医师,普外科,南京,1,50,"8,639",0,4,5,1,0,,134831
4463,住院医师,骨科,太原,0,25,"1,399",0,5,1,1,0,救死扶伤                        尽己所能，帮助患者。,134844
4464,主治医师 讲师,儿外科,滨州,1,0,921,0,0,0,0,0,,134861
4465,副主任医师,肿瘤科,重庆,1,3710,"254,495",9,336,0,0,21,努力建立良好沟通平台                        办公电话：023-63532300,134865
4466,主治医师,骨科,天津,0,40,"8,553",0,7,0,0,0,,134990
4467,副主任医师 讲师,神经外科,广州,0,0,"10,756",0,1,2,1,1,,135009
4468,副主任医师,中医科,包头,1,0,"11,383",1,0,0,0,0,,135030
4469,主治医师 讲师,胃肠外科,广州,1,6637,"366,028",22,479,2,0,10,医者仁心                        中山大学孙逸仙纪念医院（中山大学附属第二医院）医院地址：广州市越秀区沿江西路107号联系方式：020-81332020,135084
4470,主任医师 教授,中医内科,莆田,1,296,"13,720",0,4,0,0,1,愿健康永远伴随您！                        愿健康永远伴随您！,135140
4471,主治医师,介入放射科,合肥,1,205,"7,155",3,1,0,0,0,,135165
4472,主治医师,肝病科,杭州,0,200,"6,307",0,0,0,0,0,,135167
4473,主治医师 讲师,口腔颌面外科,长春,1,15,"6,801",1,2,1,0,0,,135194
4474,主任医师 副教授,普外科,徐州,1,250,"12,195",1,4,0,1,0,,135206
4475,副主任医师,肾内科,武汉,1,35,"2,129",4,4,0,0,0,,135225
4476,主任医师 教授,放射科,上海,1,200,"6,695",0,0,1,0,1,,135299
4477,主治医师,耳鼻咽喉头颈科,珠海,0,515,"60,570",12,34,2,0,0,座右铭                        有时去治愈常常去帮助总是去慰藉,135345
4478,主任医师 教授,普通外科,咸阳,1,0,"48,444",2,14,0,0,0,,135386
4479,住院医师,麻醉科,青岛,1,0,"3,473",1,0,1,1,0,了解麻醉益处多                        分娩镇痛的发展进步和在我院的进展情况术前紧张焦虑，心理治疗术中平稳安逸术后镇痛无忧,135454
4480,主治医师,普通外科,西安,1,200,"6,451",0,0,0,0,0,,135541
4481,主治医师,眼科,哈尔滨,0,5,"7,668",0,1,1,0,0,,135574
4482,副主任医师,肛肠外科,沈阳,1,210,"16,779",1,1,11,0,1,答疑解惑 解除病痛。                        为患者答疑解惑，解除病痛。,135635
4483,副主任医师 副教授,血管、腹壁外科,重庆,1,0,"20,337",0,0,7,1,0,,135648
4484,副主任医师,神经内科,上海,1,0,"29,950",0,2,2,0,0,,135653
4485,副主任医师,肛肠科,上海,1,1366,"89,210",1,87,34,13,3,关于门诊时间                        周四上午曙光西院专家门诊，其他时间都在东院，其中周一上午和周三上午相对空闲,135753
4486,副主任医师,肾内科,无锡,1,310,"101,847",15,28,3,0,1,欢迎各位光顾                        感谢您的支持。,135809
4487,主治医师,感染内科,扬州,0,200,"4,150",0,0,0,0,1,,135813
4488,副主任医师,泌尿科,北京,1,5,"53,421",4,19,14,3,0,,135868
4489,主治医师,内分泌科,淄博,1,200,"6,545",0,0,0,0,0,,135889
4490,主治医师,肛肠科,成都,1,330,"13,929",0,57,0,0,0,,135960
4491,副主任医师,外科,广州,1,0,"13,414",0,0,0,0,0,,136002
4492,主治医师,妇产科,长沙,1,0,"9,571",0,0,0,0,1,,136016
4493,副主任医师,放射科,长沙,1,85,"7,257",2,11,0,0,0,早日康复                        欢迎进入我的网站，希望我能帮助你解决问题。,136043
4494,主任医师 教授,胸心外科,成都,1,0,731,0,0,1,0,0,,136055
4495,主任医师 副教授,消化内科,武汉,1,205,"20,608",6,36,10,1,0,医生愿做患者的保护神                        我愿意把毕生的精力都奉献给医学事业，为患者解除疾苦，是我最大的快乐！,136069
4496,主任医师,神经内科,北京,1,0,"2,311",0,0,1,0,0,,136077
4497,住院医师 助教,骨伤科,长沙,0,0,"2,206",2,0,0,0,0,颈肩腰腿痛，中医中药除病症                        中医中药、针灸推拿保守治疗颈肩腰腿痛疗效好，少复发；院内、院外专家手术治疗脊柱疾病技术高。,136092
4498,主任医师 教授,风湿内科,广州,1,4520,"436,640",23,489,27,3,7,,136105
4499,住院医师,儿科,荆州,0,0,"2,338",0,0,2,0,0,,136131
4500,主治医师 讲师,男科,上海,1,3140,"138,477",0,245,3,0,4,,136134
4501,副主任医师 副教授,免疫内科,湖州,1,0,"13,523",1,0,0,0,0,欢迎词                        你好！我愿意帮助你！,136230
4502,主任医师,普外科,银川,0,200,"7,160",0,0,2,1,0,,136243
4503,主治医师,肝胆胰脾外科,北京,0,5,"2,839",0,1,0,0,0,,136265
4504,主治医师,血液科,随州,0,0,"1,491",0,0,0,0,0,,136266
4505,副主任医师,神经外科,广州,1,1164,"140,970",9,109,2,4,5,欢迎词                        仁心仁术、视病犹亲、术德兼修、感同身受,136323
4506,主任医师 副教授,普外科,上海,1,205,"11,063",1,3,27,8,1,,136326
4507,主任医师 教授,脾胃病科,南京,1,550,"30,211",0,21,3,0,0,交流、沟通                        尊重生命，维护健康，是医生的本份，我愿尽力而为。,136328
4508,主治医师,骨科,长治,1,0,351,0,0,0,0,0,,136356
4509,副主任医师,口腔科,南京,1,0,"2,078",0,0,3,1,0,,136362
4510,副主任医师 副教授,神经内科,沈阳,1,0,"2,957",0,0,0,0,0,,136387
4511,主任医师,妇产科,广州,1,580,"90,165",2,28,5,0,0,,136398
4512,主管技师,口腔科,青岛,0,0,691,0,0,0,0,0,,136400
4513,主任医师,化疗科,鞍山,0,195,"13,247",3,32,0,0,0,"如烟往事俱往却,心底无私天地宽                        疾病，没什么可怕的，Let it be! 我相信顽强的毅力可以征服世界上任何一座高峰！    生命，人生苦短吗？那是因为你没有好好享受昨天，既然错过了昨天，就要珍惜今天的阳光，用坚定的信念去追求明天的太阳！明天把握在你自己的手里。Let&...#39;s face tomorrow smilingly!                                        展开 >>                 收起",136425
4514,主任医师,风湿病内科,襄阳,1,1900,"95,306",8,74,6,0,11,欢迎词                        关注狼疮，关爱生命，与您同行！,136431
4515,主任医师 教授,肛肠科,大连,1,0,"33,054",0,7,3,0,0,,136455
4516,主任医师,儿童保健所,长沙,1,200,"22,959",0,1,4,2,0,,136505
4517,住院医师,外二科（肝胆外科）,潍坊,0,0,"1,763",0,0,0,0,0,,136540
4518,副主任医师,口腔科,北京,1,305,"20,580",0,6,3,0,2,,136548
4519,主任医师 教授,风湿科,临沂,1,10850,"538,521",20,747,37,10,9,与您同享欢乐                        各位朋友：你们好，欢迎你们访问网站，希望你们通过访问网站得到一定收获，也希望对我们的工作提出相关建议，祝你们健康，快乐。,136573
4520,住院医师,中医科,茂名,0,0,"1,406",0,0,0,0,0,,136631
4521,主治医师,内分泌科,重庆,0,0,206,0,0,1,1,0,,136657
4522,主任医师 教授,口腔修复科,苏州,1,230,"16,202",1,2,1,0,0,,136663
4523,主任医师 教授,皮肤科,西安,1,205,"6,064",1,1,0,0,1,,136667
4524,主治医师 讲师,睡眠科,深圳,1,0,"4,077",2,0,1,0,0,,136667
4525,主治医师,关节科,泉州,1,430,"68,493",20,29,3,1,0,欢迎词                        您的康复是我的成功。,136789
4526,主任医师,康复科,深圳,1,24920,"1,182,583",1,1811,18,5,33,欢迎词                        儿童功能障碍早筛查、早干预、早诊治、早康复。,136791
4527,副主任医师 副教授,烧伤整形科,绵阳,1,2210,"585,930",94,322,41,6,5,"绵阳市人民医院 烧伤美容整形科                        欢迎光临李崇进医生的网站,这里是医生和患者沟通的平台,你可以将你想了解的问题提出来,也许会给你一定帮助!欢迎登陆绵阳市人民医院网站 http://www.mysrmyy.com/",136816
4528,主任医师 副教授,消化科,北京,1,215,"14,267",1,1,1,0,1,欢迎您！                        我是航天中心医院消化科崔大夫，欢迎您浏览网站和进行咨询，很高兴为您服务！,136820
4529,副主任医师 副教授,营养科,济宁,1,221,"18,511",3,1,0,0,0,临床营养医师                        本人从事临床营养工作十七年，擅长危重症患者的营养支持，曾做过心脏移植和肝脏移植的营养支持。欢迎大家共同做好临床营养工作。,136838
4530,主治医师 讲师,神经外科,上海,1,0,"2,006",3,0,1,0,0,大医精诚                        愿我的努力能为病患解除痛苦！,136875
4531,副主任医师,肿瘤科,德阳,1,0,"2,115",0,0,0,0,0,,136891
4532,主任医师 教授,妇产科,武汉,1,87130,"9,776,174",0,4574,23,21,183,,136897
4533,副主任医师,呼吸内科,合肥,0,0,"4,700",0,0,3,0,0,,136907
4534,主任医师,眼科,贵阳,0,30,"3,159",0,5,7,1,0,,136926
4535,主治医师,外科,菏泽,1,45,"1,883",0,5,0,0,0,,137034
4536,主任医师,儿保科,西安,1,0,"12,011",0,1,2,0,1,,137045
4537,主治医师 讲师,麻醉科,长沙,0,20,"2,277",5,3,0,0,0,急慢性疼痛诊治                        为民初痛，立身之本希望有相应急慢性颈痛、背痛、腰腿痛、带状疱疹神经痛、三叉神经痛、恶性肿瘤疼痛、各种疑难复杂疼痛患者和我联系，我将给予真诚的帮助和解答。,137048
4538,主任医师 教授,神经外科,呼和浩特,1,0,"13,797",0,4,8,0,0,,137059
4539,主任医师,儿童保健科,深圳,1,4107,"230,817",0,309,11,2,3,,137077
4540,副主任医师,普外科,北京,1,0,"16,033",0,4,10,1,0,,137082
4541,副主任医师 副教授,放射科,大连,1,0,"2,412",0,0,2,0,0,,137084
4542,副主任医师 讲师,心血管外科,苏州,1,55,"5,926",0,11,11,3,0,,137085
4543,副主任医师,心胸外科,南京,1,80,"6,588",4,11,0,0,0,欢迎您的到来！                        欢迎各位患友咨询就诊！,137121
4544,主治医师 讲师,烧伤科,泰安,0,294,"94,904",21,19,9,0,0,每一天，精彩灿烂                        健康快乐，我们永恒の追求keep fit，for ever.,137189
4545,副主任医师,针灸科,北京,1,20,"4,244",0,3,0,0,0,欢迎词                        愿针灸为您带来健康和幸福！,137201
4546,副主任医师 副教授,神经外科,唐山,1,230,"9,290",0,2,1,0,0,大医精诚，尽善尽美，孜孜不倦，善待众生                        大医精诚，尽善尽美，孜孜不倦，善待众生,137210
4547,住院医师,肿瘤科,杭州,1,85,"1,521",1,10,0,0,0,欢迎词                        宣传和普及健康知识，携手应对我们共同的敌人——疾病！,137211
4548,副主任医师,功能神经外科,北京,1,3205,"138,624",8,306,14,6,4,医学                        系科学，亦人学。 承认医学规律是科学规律、自然规律、人性规律乃至必然规律的一面，怀抱因之而生的谦卑和深层安全感。,137261
4549,主任医师,腹部外科,临沂,1,280,"22,688",1,6,9,2,0,,137300
4550,副主任医师,肝胆普外科,宝鸡,1,200,"7,572",0,0,0,0,0,,137364
4551,副主任医师,脑病三科,北京,1,0,607,0,0,1,0,0,,137374
4552,主任医师 教授,脑病科,郑州,1,10,"1,182",0,2,1,0,0,,137383
4553,副主任医师 副教授,消化内科,北京,1,12875,"1,078,514",27,1056,15,5,20,仁心行天下，杏林蔽苍生                        欢迎各位光临小站   由于时间紧张， 本人不能保证及时回复您的信息，也不能保证其正确性。本人任何建议均不能代替面对面的诊治沟通，请您谨慎参阅，本人不承担由此导致的任何形式或意义的责任。请及时和您的经治医师沟通。谢谢。   凡咨询者视...为对上述情况已经知晓同意。                                        展开 >>                 收起 <<,137386
4554,主治医师,口腔科,徐州,1,595,"33,509",0,32,2,0,1,,137387
4555,副主任医师,眼科,秦皇岛,1,110,"23,736",10,19,1,0,0,,137492
4556,副主任医师,妇产科,深圳,0,200,"3,318",0,0,0,0,0,,137523
4557,主任医师,儿外科,无锡,1,200,"8,005",0,0,2,0,0,,137529
4558,副主任医师,头颈甲状腺外科,郑州,1,205,"14,111",0,7,15,2,1,,137533
4559,主治医师,口腔修复科,齐齐哈尔,1,200,"6,267",0,0,2,1,0,,137556
4560,主任医师 教授,麻醉科,成都,1,235,"110,730",31,5,0,0,1,甘当幕后，我无怨无悔                        将复杂的麻醉简单做；简单的麻醉重复做；重复的麻醉用心做！,137584
4561,主治医师,中医科,广州,0,0,"26,970",0,6,1,0,0,,137603
4562,主治医师,麻醉科,宁波,1,230,"16,880",0,2,0,0,1,,137744
4563,主任医师 教授,口腔科-颌面,大庆,1,0,"1,051",0,0,2,0,0,,137772
4564,主治医师,骨科,忻州,0,200,"8,888",0,1,0,0,0,,137780
4565,主治医师,口腔科,广州,1,0,"2,408",0,0,3,0,0,,137791
4566,副主任医师 副教授,妇产科,郑州,1,55,"3,177",0,10,2,0,0,,137857
4567,副主任医师,骨科,包头,0,5,565,0,1,0,0,0,,137867
4568,副主任医师 讲师,皮肤科,淮南,1,200,"9,235",0,0,1,0,0,,137896
4569,主治医师,麻醉科,深圳,0,30,"5,759",1,4,0,0,0,帮您了解麻醉                        在美国，麻醉医生始终排在高薪榜的前10名之内。曾经，美国的外科医生对此非常不满。在一次医学会议上，他们要求降低麻醉医生的薪酬。这时，一位麻醉专家站起来说：“如果你们认为麻醉医生就是打那么一针，那么我完全同意降薪。我甚至可以免费打这一针。只是...，打完这针之后，我就会下班。”于是，所有的外科医生都沉默了。从此，再没有提过要给麻醉医生降薪的要求。呵呵，您想知道为什么？或者您有关于麻醉方面的疑问，欢迎进入我的个人网站来寻找答案。,137900
4570,主任医师,胃肠外科,深圳,1,0,"22,036",0,2,1,0,0,,137922
4571,主任医师 教授,整形美容外科,长沙,1,30360,"1,072,471",9,1959,12,3,49,,137955
4572,住院医师,肛肠科,吉林,0,0,909,0,0,0,0,0,,137984
4573,主任医师 教授,病理科,北京,1,615,"43,658",0,34,6,1,2,,137993
4574,主治医师 讲师,外科,平顶山,1,410,"43,169",1,16,0,0,1,以我妙手 还您健康                        胸外科。普外科。肝胆外科。请咨询后选择就诊，信者求医。,138012
4575,主治医师 讲师,中西医肾病科,广州,0,1847,"68,160",2,152,0,0,3,欢迎词                        真心祝愿大家身体安康,138014
4576,主任医师,未病体检科,西安,1,0,"1,481",2,0,1,0,0,,138031
4577,副主任医师,感染科,上海,1,485,"6,304",0,52,5,1,0,,138078
4578,主治医师,肝病专科,武汉,0,0,"18,284",0,0,2,0,0,,138090
4579,副主任医师,口腔外科,杭州,1,305,"45,568",0,57,8,1,0,,138130
4580,主治医师 讲师,内分泌专科,济南,1,270,"12,268",0,6,0,0,1,欢迎词                        愿尽我所能为您排忧解难！,138142
4581,住院医师,康复理疗科,济南,0,2032,"111,635",0,91,2,0,3,,138174
4582,住院医师,中医科,广州,1,0,718,0,0,0,0,0,,138209
4583,主任医师 教授,麻醉科,上海,0,0,995,0,0,0,0,0,,138214
4584,副主任医师,放疗科,三门峡,1,200,"3,285",0,0,1,0,1,,138214
4585,主任医师 副教授,耳鼻咽喉头颈外科,上海,1,4765,"401,248",0,509,23,11,6,,138221
4586,副主任医师,泌尿科,兰州,0,0,"2,608",0,0,1,0,0,,138270
4587,副主任医师 讲师,脊柱外科,青岛,1,0,299,2,0,2,0,0,欢迎登陆岳斌大夫的个人网站                        欢迎各位患者朋友留言咨询,138302
4588,副主任医师,牙周科,烟台,1,0,"13,027",0,1,7,1,1,,138304
4589,住院医师,康复科,重庆,1,0,"6,651",0,0,0,0,1,欢迎词                        希望我用我的专业知识，能为广大患者有所帮助！,138321
4590,主治医师,急诊科,株洲,1,0,"2,391",0,0,1,0,0,诚挚交友、让心飞扬                        欢迎您的来访，我们是人类健康的探索者，一切为了您的健康，帮助各种需要我们关爱的亚健康人群和病人达到卓越的医疗解决方案，专注地追求创新，诚挚交友，诚信于民！用技术回报人民，让我们共同为人类的健康事业添砖加瓦吧！,138338
4591,住院医师,中医科,北京,1,45,"1,027",1,2,0,0,0,,138363
4592,副主任医师,整形烧伤科,大同,1,0,"10,569",0,0,1,0,0,慢性病患者的好朋友                        穴位注射加中药治疗慢性胃病.功能性便秘.慢性前列腺.性功能障碍.,138377
4593,主治医师,手外科,无锡,0,0,"7,784",0,0,2,1,0,,138378
4594,主任医师 教授,心血管外科,北京,1,0,"16,650",0,0,7,1,0,欢迎登陆张载高爱心网                        本网宗旨是传播心血管病预防与保健知识，并为各类心脏病、先心病、风湿性心脏瓣膜病患者提供医学咨询和手术服务，诚请多提宝贵意见！欢迎登陆张载高爱心网站 www.navyheart.net,138387
4595,主治医师,肾内科,上海,0,0,774,0,0,1,0,0,您好                        肾好一切都好！,138429
4596,主任医师 教授,消化科,乌鲁木齐,1,0,"15,203",16,0,4,0,0,,138456
4597,主治医师,急诊科,西安,1,200,"6,256",0,0,0,0,1,,138456
4598,主任医师 副教授,放疗科,常州,1,705,"47,036",2,53,3,0,0,,138481
4599,主任医师,耳鼻咽喉科,北京,1,130,"3,983",0,20,0,0,0,,138491
4600,主治医师,结核内科,石家庄,1,3430,"160,570",2,227,6,4,4,,138498
4601,主任医师 副教授,消化内科,宜昌,1,210,"6,538",1,3,2,1,2,,138540
4602,主治医师 副教授,心血管科,济南,0,0,"6,345",0,0,0,0,0,,138543
4603,主任医师 副教授,肝胆外科,莆田,1,0,189,0,0,1,0,0,,138686
4604,住院医师,心身医学科,宁波,0,0,"2,205",0,0,0,0,0,,138713
4605,住院医师,乳腺外科,郑州,0,200,"5,849",0,0,0,0,0,,138723
4606,副主任医师,胸外科,邯郸,1,210,"12,495",0,1,0,0,1,希望用我的学识，解除您的病痛。                        健康所系，性命相托！    患者的事情无小事！    我会认真、细致、负责的接待每一位患者。用我的学识，解除您的病痛。,138726
4607,主治医师,口腔正畸科,乌鲁木齐,0,0,852,0,0,1,0,0,,138776
4608,主治医师,皮肤科,上海,0,0,154,0,0,0,0,0,,138798
4609,副主任医师,病理科,广州,1,0,"11,971",0,0,0,0,0,,138807
4610,主治医师,妇产科,广州,1,0,"36,645",0,4,2,0,0,,138919
4611,主任医师 教授,眼外伤科,石家庄,1,8936,"447,158",24,660,11,2,19,眼眶骨折，眶区复合骨折，眼外伤，玻璃体切割，整形，...                        眼眶骨折，眶区复合骨折，眼外伤，玻璃体切割，整形，泪道手术，青光眼，白内障,138936
4612,主任医师 副教授,泌尿外科,上海,1,425,"45,205",0,122,18,8,2,,138949
4613,主治医师,妇产科,北京,1,5,"2,765",0,1,1,0,0,欢迎词                        良好的沟通是良好医患关系的开始，希望我能对您有所帮助。,139039
4614,主任医师 教授,神经外科,郑州,1,1030,"103,230",0,62,2,0,1,,139077
4615,主任医师 教授,骨科,青岛,1,0,"16,807",0,1,1,1,1,,139093
4616,主治医师,胸心外科,长治,1,0,329,0,0,0,0,0,,139140
4617,主任医师 教授,医学影像科,北京,1,0,"1,828",0,0,0,0,0,,139162
4618,副主任医师,普腹外科,郴州,1,0,"6,223",0,0,0,0,0,,139207
4619,主治医师 讲师,眼科,重庆,1,200,"6,952",0,0,1,0,1,,139213
4620,副主任医师 副教授,骨五科(脊柱外科),玉林,1,280,"27,710",0,8,2,0,0,,139220
4621,主治医师,皮肤性病科,上海,1,2365,"44,646",1,286,0,0,1,,139309
4622,主治医师,口腔正畸科,太原,1,260,"12,629",0,5,0,0,1,开工                        开通于2012年4月10日，希望借助这个很好的平台为更广大的牙颌畸形患者服务。,139349
4623,副主任医师,内科,广州,1,0,599,0,0,0,0,0,,139381
4624,副主任医师,眼科,四平,1,220,"16,817",0,2,1,0,0,,139400
4625,住院医师,妇科,长春,0,0,275,0,0,0,0,0,,139400
4626,副主任医师,保健部,宁波,1,0,"2,534",6,0,1,0,0,让每一个孩子拥有最佳的人生开端！                        健康是人类最大的财富,139413
4627,住院医师,小儿泌尿科,武汉,0,0,750,0,0,0,0,0,,139414
4628,主治医师,心病内科,长春,0,0,325,0,0,0,0,0,,139419
4629,住院医师 讲师,口腔正畸科,杭州,1,260,"13,282",0,4,2,0,0,,139473
4630,副主任医师 副教授,皮肤性病科,石家庄,0,0,"2,726",0,0,0,0,0,,139548
4631,住院医师 助教,中医内科、中医肿瘤科,合肥,1,0,"16,476",0,1,2,0,0,努力做到妙手仁心                        做为一个年轻医生，要走的路还很长。我母亲常说：遇到什么事，开心或者不开心，都要微笑。大医精诚对于我来说还很遥远，努力对我的每一位病人负责就是我现在的目标。,139579
4632,主治医师,中医科,广州,1,0,768,0,0,0,0,0,,139605
4633,住院医师,胸外科,郑州,1,0,448,0,0,1,0,0,,139617
4634,主治医师,小儿心外科,北京,1,54420,"1,296,191",13,2753,12,11,489,我的微博：http://weibo.com/lixiaofengyisheng                        ■提供胎儿心脏评估及出生后各种先心病手术治疗及微创手术的一站式咨询和服务。以爱心护心，用真心守护。■您的孩子就是我们的孩子，我们的目标是共同努力，为孩子驱走病魔，还孩子一颗健康的心脏，让孩子的世界充满阳光和欢乐！我的微博：http://w...eibo.com/lixiaofengyisheng■家庭贫困的孩子，来就诊住院的时候携带家庭贫困证明等材料，我帮助孩子们申请爱心基金救助。,139649
4635,主治医师,康复科,通化,0,265,"16,669",0,1,0,0,0,一切为了患者.                        尽我所能.,139693
4636,主任医师,产科,北京,1,0,"141,197",2,74,97,15,1,,139712
4637,主任医师,耳鼻咽喉头颈外科,北京,1,260,"62,777",1,78,33,13,1,,139753
4638,副主任医师 副教授,传染科,大连,1,0,"1,766",0,1,1,0,0,,139827
4639,副主任医师 副教授,妇科,济南,1,7708,"392,126",0,538,16,9,27,,139840
4640,主治医师 讲师,消化内科,新乡,0,150,"5,516",2,23,0,0,0,欢迎词                        希望广大患友身体健康、心情愉快！,139944
4641,副主任医师,免疫风湿科,北京,1,0,"10,112",0,0,3,0,1,,139974
4642,主任医师 副教授,新生儿内科,深圳,1,210,"19,717",0,1,5,0,0,,139987
4643,副主任医师,神经内科,大连,1,0,667,0,0,0,0,0,欢迎提问！                        本人出诊时间暂不固定，欢迎来大连三院神经三病房直接当面咨询。,139994
4644,副主任医师 副教授,风湿免疫科,泰安,1,4088,"212,813",5,259,20,4,10,,140009
4645,住院医师,眼科,厦门,0,215,"177,769",0,28,1,0,1,,140029
4646,副主任医师,眼科,佳木斯,0,360,"222,606",0,206,3,0,0,欢迎词                        苦与乐都是一天，只要还能坚持信念，就有希望。,140045
4647,主治医师,创伤骨科,郑州,1,5,"2,481",4,1,0,0,0,欢迎词                        用我的真心换取你的放心！,140123
4648,主任医师,眼科,乌鲁木齐,1,250,"18,422",4,8,2,0,0,,140169
4649,副主任医师,病理科,北京,1,0,"7,537",0,0,0,0,1,欢迎病理会诊和学术交流                        解决病患疾苦是医者最大的快乐,140185
4650,副主任医师,眼科,北京,0,200,"7,716",0,0,1,0,0,,140186
4651,副主任医师,消化科,徐州,1,0,"3,691",0,0,2,0,0,,140196
4652,主任医师,神经外科,北京,1,26144,"1,187,159",45,1676,10,1,61,内镜神经外科中心治疗三叉神经痛、垂体瘤、胶质瘤、脑...                        欢迎访问北京三博脑科医院内镜神经外科中心网站！我们开展单一钻孔内镜手术治疗三叉神经痛、半侧面肌痉挛和颅内蛛网膜囊肿创伤小，疗效好，恢复快，术后可短期出院。采用微创的神经内镜手术治疗垂体瘤、胶质瘤、脑积水、脑室肿瘤、脑室囊肿、脊索瘤、脑脊...液鼻漏、视神经损伤、脊髓肿瘤等疾病，创伤小，安全性好，痛苦小，疗效更好。微创与内镜神经外科中心主任北京三博脑科医院神外七副主任中国神经外科医师学会神经内镜专家委员会,140269
4653,主治医师,耳鼻喉头颈外科,上海,0,0,"18,837",0,1,2,0,1,,140276
4654,副主任医师 副教授,风湿免疫科,北京,1,0,"1,602",0,1,33,13,0,,140321
4655,副主任医师,血液科,莆田,1,70,"7,149",0,10,2,0,0,,140341
4656,主治医师,口腔颌面外科,上海,0,0,"1,932",0,0,0,0,0,,140349
4657,副主任医师,结核病科,西安,0,2616,"106,256",3,124,1,1,6,欢迎词                        全心全意为您服务，希望能为您的康复提供帮助。,140405
4658,副主任医师,肾内科,上海,1,0,"1,466",0,1,13,4,0,,140428
4659,副主任医师,乳腺科,聊城,1,0,"1,731",0,0,0,0,0,,140433
4660,主治医师 讲师,口腔修复科,徐州,0,315,"32,007",4,10,0,0,1,欢迎词                        擅长口腔和牙齿的美学修复，种植牙修复，个性牙饰，牙齿及牙龈的美白，让你的微笑更灿烂！,140505
